Epoch,Training Loss,Validation Loss,Perplexity,Sample
1,5.038873127528599,4.996659278869629,166.5120849609375,Python Developer-Fresher : Implement<|endoftext|>; Mentor; Ensure<|endoftext|> with : Lead : Lead; Collaborate with : Lead<|endoftext|>; Implement<|endoftext|>; Mentor; Collaborate with : Lead : Lead : Lead : Lead : Lead : Lead; Mentor; Collaborate with<|endoftext|> :
2,4.181764965965634,4.2239789962768555,68.30785369873047,Python Developer-Fresher : Implement; Implement<|endoftext|>Softwareate with cross-Fresher : Lead-Experienced : Assist in; Implement; Collaborate with cross-Fresher : Lead; Manage; Collaborate with cross-Experienced : Lead; Collaborate in developing
3,3.6480825628553117,3.72965669631958,44.37010192871094,Python Developer-Fresher : Implement basic data-Experienced : Lead and manage; Support cloud; Collaborate with cross-Experienced : Assist in Agile : Assist in Agile; Collaborate with team members; Implement<|endoftext|>Software; Collaborate with cross-Experienced : Assist
4,3.2403635411035445,3.4136240482330322,30.41248893737793,Python Developer-Fresher : Implement basic data-Experienced : Lead and manage; Collaborate with team members; Ensure compliance with team; Collaborate with team members; Collaborate with cross-Fresher : Lead and maintain; Collaborate with cross-Experienced : Assist in
5,2.914308093843006,3.1874375343322754,18.901384353637695,Python Developer-Fresher : Implement basic automation; Collaborate with team members; Implement ERP/CD pipelines; Collaborate with team members; Collaborate with cross-Experienced : Lead front-Fresher : Lead and manage expectations; Mentor junior analysts; Support cloud platforms
6,2.65979950768607,3.0732762813568115,18.920368194580078,Python Developer-Fresher : Implement AI-Experienced : Lead AI-Fresher : Lead AI-Experienced : Lead cross-Experienced : Lead cross-Experienced : Lead BI and and and optimize and manage and optimize AI-Experienced : Lead cross-Experienced
7,2.4458035060337613,3.0299715995788574,12.69672966003418,Python Developer-Fresher : Implement basic data collectionate with team members; Collaborate with team members; Collaborate with team; Support content; Collaborate with team members; Collaborate with cross-Fresher : Assist in creating design systems; Collaborate with team; Collaborate
8,2.2423958891914006,2.9585142135620117,11.197296142578125,Python Developer-Fresher : Implement AI tools for web applications; Collaborate with cross-Experienced : Develop backend services; Collaborate with cross-Experienced : Lead and implement SEO-Experienced : Lead BI and product teams; Ensure compliance with team members<|endoftext|>Software Engineer-F
9,2.0429231098720004,2.98184871673584,9.532526016235352,"Python Developer-Fresher : Implement automated testing; Collaborate with cross-Level : Develop advanced robotic systems; Collaborate with marketing campaigns; Collaborate with peers for projects and implement scalable systems; Implement basic HTML, and lead generation; Integrate sensors and implement scalable and maintain and optimize"
10,1.8517481769834245,2.9863364696502686,7.385942459106445,Python Developer-Fresher : Implement AI-Fresher : Lead complex-Fresher : Design star; Develop advanced dashboards; Develop content strategy development; Collaborate with senior designers; Mentor junior analysts<|endoftext|>Software Tester (SDET)-Fresher : Architect-
11,1.6518711986995878,3.05100679397583,6.1132378578186035,Python Developer-Fresher : Implement AI-Experienced : Lead development projects; Mentor junior engineers; Manage AI and implement operational standards; Collaborate with team members; Collaborate in Agile ceremonies; Ensure compliance with cross-Fresher-Fresher : Lead content
12,1.4534099045253934,3.098594903945923,4.971435546875,"Python Developer-Fresher : Implement AI-Experienced : Lead development projects; Manage AI outputs/AWSEM and implement advanced vulnerability assessments; Perform basic ETL processes and maintain and test preparation; and and, and and and optimize prompts for efficiency and CI/, and actu"
13,1.266248004777091,3.1582813262939453,4.405379772186279,"Python Developer-Fresher : Implement database performance; Collaborate with Jest-Experienced : Assist in building campaigns; Integrate sensors, or Django; Collaborate with cloud and and and manage and report and manage and and implement advanced robotic systems; Perform basic data and manage and manage"
14,1.0920392785753523,3.264219284057617,3.8394153118133545,Python Developer-Fresher : Implement Swift programming services<|endoftext|>Trainee Network Engineer-Fresher : Design; Perform routine content; Learn cloud infrastructure as Code applications for enterprise system reliability and API integration and and and manage and and refine prompts for efficiency; Integrate brand strategy and and implement
15,0.9253055481683641,3.3367793560028076,3.073986768722534,Python Developer-Fresher : Implement Swift programming best practices; Collaborate in coding teams; Mentor junior; Participate with stakeholders Engineer - Experienced :ate with marketing teams design benchmarking sessions; Implement and mentor juniors<|endoftext|>Marketing Specialist-Experienced : Design<|endoftext|>Test Autom
