Epoch,Training Loss,Accuracy
1,0.03263083050293876,0.5458367911479944
2,0.026856692063857907,0.6077676348547718
3,0.024881105278537482,0.6306832641770401
4,0.023211449291036666,0.651192254495159
5,0.02161776880555133,0.6707496542185339
6,0.019994129856922154,0.6921161825726141
7,0.018337467765989476,0.7144785615491009
8,0.01655736844998013,0.7388105117565699
9,0.01476703747138278,0.76334163208852
10,0.013076948085348965,0.7878561549100969
11,0.011565095166530186,0.8101964038727524
12,0.010213537764664672,0.8313748271092669
13,0.009078141651748787,0.8480553250345781
14,0.008116263894536848,0.8624287690179806
15,0.007363459105602109,0.8751756569847856
16,0.006709976421517125,0.8853167358229599
17,0.006204044022129779,0.89432918395574
18,0.005778281153814757,0.9012724757952973
19,0.005440021233233838,0.9066777316735823
20,0.005094633496349695,0.9128686030428769
21,0.004938109872076934,0.9156901798063624
22,0.004681574382042489,0.9198838174273859
23,0.004462768730281093,0.9238284923928077
24,0.004342698398302535,0.9257980636237898
25,0.004203562149935161,0.9281881051175657
26,0.0040874905136786144,0.9304674965421853
27,0.00398708802281285,0.9320497925311203
28,0.0038882061208998925,0.9341576763485477
29,0.003769147267093673,0.9362268326417704
30,0.0037311685899089645,0.9361272475795297
